title,date
"Tesla’s Texas Gigafactory made its 10,000th Model Y SUV",2022-09-17
"Tesla built 365,923 electric vehicles in Q3, up 42 percent from Q2",2022-10-02
Volvo will unveil the electric EX90 SUV on November 9th,2022-09-21
"Elon Musk tells Twitter he wants to go ahead with original deal, according to Bloomberg",2022-10-04
XPeng claims its G9 SUV is the world's fastest charging EV,2022-09-21
GM's Cruise is making its own chips for self-driving vehicles to save on costs,2022-09-14
The Morning After: Google's cheaper $30 Chromecast with Google TV,2022-09-23
Electric Vehicles Could Rescue the US Power Grid,2022-09-19
This Student’s Side Project Will Help Decide Musk vs. Twitter,2022-09-27
Tesla ditches ultrasonic sensors from new cars as it bets on camera-only driver assistance,2022-10-05
"New attack can unlock and start a Tesla Model Y in seconds, say researchers",2022-09-12
How to watch Tesla’s 2022 AI Day event,2022-09-30
"Tesla now has 160,000 customers running its Full Self Driving beta",2022-10-01
Elon Musk’s robot is going to have to work hard to impress at Tesla’s AI Day,2022-09-28
A Tesla Megapack battery is on fire at a PG&E facility in California,2022-09-20
Bipedal robot sets 100 meter record,2022-09-30
No buyouts for Chevy dealers who don’t want to sell electric vehicles,2022-09-12
How YouTube broke up with PewDiePie (then got back together again),2022-09-06
Tesla Wants You to Vote for New Charging Locations,2022-09-09
Elon Musk Tweeted a Poll So Stupid the President of Ukraine Dunked on Him,2022-10-04
"Hertz is buying up to 175,000 electric vehicles from GM",2022-09-22
Five reasons why China's economy is in trouble,2022-10-04
Meta spins off PyTorch Foundation to make AI framework vendor neutral,2022-09-12
Tesla shows off underwhelming human robot prototype at AI Day 2022,2022-10-01
"Amazon hires unsafe trucking firms twice as often as peers, WSJ finds",2022-09-23
Jeep will launch four all-electric SUVs in the US by 2025,2022-09-08
Nasdaq futures hobbled by Tesla weakness - Reuters,2022-10-03
Logistics issues see Tesla shares slide - Reuters,2022-10-03
Tesla considering lithium refinery in Texas - Reuters.com,2022-09-09
Tesla weighs China sales reset - Reuters,2022-09-15
Tesla will remove more vehicle sensors amid Autopilot scrutiny - Reuters,2022-10-04
"A squadron of electric Jeeps goes after Rivian, Tesla - Reuters.com",2022-09-08
Tesla window issue leads to U.S. recall - Reuters,2022-09-22
Demand for Tesla cars could be cooling off - Reuters,2022-10-04
German authority's probe finds 'abnormalities' in Tesla autopilot - WirtschaftsWoche - Reuters,2022-09-09
Tesla countersues California agency behind race bias lawsuit - Reuters,2022-09-22
Tesla CEO Elon Musk showcases humanoid robot - Reuters,2022-10-01
Tesla to keep Shanghai plant below maximum output -sources - Reuters,2022-09-27
"Tesla is sued by drivers over alleged false Autopilot, Full Self-Driving claims - Reuters",2022-09-14
"Tesla must tell laid off workers about lawsuit, judge rules - Reuters",2022-09-19
"Tesla workers' lawsuit over layoffs likely belongs in arbitration, judge says - Reuters",2022-09-27
"EXCLUSIVE Tesla output forecast shows jump in Q4, growth through 2023 -sources - Reuters",2022-09-30
Inside Tesla's drive to keep Musk's battery promise - Reuters,2022-09-06
Tesla recalls nearly 1.1 million U.S. vehicles to update window reversing software - Reuters,2022-09-22
Tesla aims to double vehicle sales in Germany in 2022 - Automobilwoche - Reuters,2022-09-18
Elon Musk faces skeptics as Tesla gets ready to unveil 'Optimus' robot - Reuters,2022-09-20
EXCLUSIVE Tesla to keep output at upgraded Shanghai plant below maximum -sources - Reuters,2022-09-27
EXCLUSIVE Tesla weighs reset for China retail strategy even as sales boom - Reuters,2022-09-15
Tesla's German battery plant and land extension on track - mayor - Reuters,2022-09-19
Tesla completes production capacity expansion at Shanghai plant - Shanghai govt - Reuters,2022-09-19
"Tesla cuts waiting time for Model 3, Model Y deliveries in China -website - Reuters",2022-09-07
Tesla triples deliveries of China-made cars after upgrade in Shanghai plant - Reuters.com,2022-09-08
Tesla's third-quarter deliveries miss estimates - Reuters,2022-10-02
Kremlin welcomes Elon Musk proposal for Ukraine settlement denounced by Kyiv - Reuters,2022-10-04
Musk's advice to younger self: 'Stop and smell the roses' - Reuters,2022-10-01
Tesla slides as logistic issues widen deliveries and production gap - Reuters,2022-10-03
Tesla plans to expand German plant off table for now - rbb - Reuters,2022-09-14
Tesla supplier Aptiv to buy 85% stake in Intercable unit in EV tech push - Reuters,2022-09-13
Tesla changes battery strategy to seek U.S. tax breaks - WSJ - Reuters,2022-09-14
Musk's move to close Twitter deal leaves Tesla investors worried - Reuters,2022-10-05
"Factbox: The challenges automakers, and now Tesla, face with humanoid robots - Reuters",2022-09-20
China's SVOLT picks same German state as Tesla for second battery cell plant - Reuters.com,2022-09-09
Elon Musk $258 billion Dogecoin lawsuit expands - Reuters,2022-09-07
BVTV: Biden's side car show - Reuters,2022-09-15
"Elon Musk seeks to narrow SEC consent decree, end pre-approval of tweets - Reuters",2022-09-28
Musk faces skeptics prior to 'Optimus' robot debut - Reuters,2022-09-20
Elon Musk set to showcase Tesla's humanoid robot after delay - Reuters,2022-09-30
"Twitter deposes Musk, known for ornery testimony - Reuters",2022-09-26
Breakingviews - Musk's messy Twitter deal could have an X-factor - Reuters.com,2022-10-05
"Twitter to interview Elon Musk, known for combative testimony - Reuters",2022-09-26
Musk and Zelenskiy in Twitter showdown over billionaire's peace plan - Reuters,2022-10-03
Ford reports strong demand for new vehicles in September - Reuters,2022-10-04
Renault to hold capital market day on Nov. 8 - Reuters.com,2022-09-29
EU trade commissioner: concerns over e-car tax incentives raised with U.S. - Reuters,2022-09-15
GM maps a slow rollout for its 'affordable' EV - Reuters.com,2022-09-08
Musk said to go ahead with $54.20 a share Twitter deal - Bloomberg reporter - Reuters,2022-10-04
Ford hikes price of F-150 electric truck as inflation bites - Reuters,2022-10-05
"LG Energy inks cobalt, lithium supply deals with three Canadian miners - Reuters",2022-09-23
Twitter to depose Elon Musk in Delaware on Sept. 26-27 - Reuters,2022-09-20
Hertz ties up with BP for EV charger installations in North America - Reuters,2022-09-27
"Twitter responds to Musk's letter, says it did not breach deal obligations - Reuters",2022-09-12
"Elon Musk, Twitter have yet to reach deal to end litigation -sources - Reuters",2022-10-05
Futures subdued ahead of raft of economic data - Reuters,2022-09-15
Apple worsens selloff in beleaguered growth stocks - Reuters.com,2022-09-28
AFL-CIO requests USMCA labor complaint at Saint-Gobain glassmaker in Mexico - Reuters,2022-09-27
Icahn had Twitter stake worth over $500 mln before Musk's about-face - WSJ - Reuters,2022-10-05
Breakingviews - Shocker Aussie hike sends global calming signal - Reuters,2022-10-04
Elon Musk accuses Twitter of security lapses in court filing - Reuters,2022-09-15
Hertz plans to order up to 175000 GM electric vehicles by 2027 - Reuters,2022-09-20
Futures rebound after rout on Wall Street - Reuters,2022-09-14
Ford shares fall 10% on warning of higher inflation-related supply costs - Reuters,2022-09-20
Futures drop after report on Apple slowing iPhone production sparks selloff - Reuters,2022-09-28
"Renault's Dacia will stick to thermal engines as long as it can, CEO says - Reuters",2022-09-16
M6 sale flop requires Bertelsmann detour - Reuters,2022-10-04
Breakingviews - Berkshire successor isn't following Buffett's lead - Reuters,2022-10-04
Biden to promote shift to EVs in visit to Detroit auto show - Reuters,2022-09-14
"Analysis: Rally in U.S. consumer stocks teeters with Fed, inflation in focus - Reuters",2022-09-21
