title,date,close,pct_change,label
Volvo will unveil the electric EX90 SUV on November 9th,2022-09-21,300.8,-2.57,negative
XPeng claims its G9 SUV is the world's fastest charging EV,2022-09-21,300.8,-2.57,negative
"Analysis: Rally in U.S. consumer stocks teeters with Fed, inflation in focus - Reuters",2022-09-21,300.8,-2.57,negative
Printing the future: New factory tech reshapes the U.S. industrial economy - Reuters,2022-09-21,300.8,-2.57,negative
Indigenous leaders urge businesses and banks to stop supporting deforestation,2022-09-21,300.8,-2.57,negative
'Big Short' investor Michael Burry reveals he isn't betting against Tesla right now - but says he should be,2022-09-21,300.8,-2.57,negative
I used Tesla's Autopilot for the first time and found it makes a long drive bearable — as long as you remember what it can't do,2022-09-21,300.8,-2.57,negative
"A Tesla owner says he was locked out of his electric car after the battery died — an issue that he says would cost over $20,000 to fix",2022-09-21,300.8,-2.57,negative
Soaring natural gas prices are prompting European companies to move their manufacturing operations to the US,2022-09-21,300.8,-2.57,negative
Why hundreds of Twitter workers are fleeing the company,2022-09-21,300.8,-2.57,negative
"Elon Musk Says the Optimus, Tesla's Human-Like Robot, Will Premiere on September 30 Amid Investor Hesitancy",2022-09-21,300.8,-2.57,negative
"Zuckerberg's wealth slides with Meta's value, but he's still the world's third richest person",2022-09-21,300.8,-2.57,negative
Tesla is crushing the competition on electric-car charger costs,2022-09-21,300.8,-2.57,negative
'Big Short' investor Michael Burry reveals he isn't betting against Tesla right now - but says he should be,2022-09-21,300.8,-2.57,negative
"A Tesla owner says he was locked out of his electric car after the battery died — an issue that he says would cost over $20,000 to fix",2022-09-21,300.8,-2.57,negative
I used Tesla's Autopilot for the first time and found it makes a long drive bearable — as long as you remember what it can't do,2022-09-21,300.8,-2.57,negative
"Elon Musk tells Twitter he wants to go ahead with original deal, according to Bloomberg",2022-10-04,249.44,2.9,positive
Elon Musk Tweeted a Poll So Stupid the President of Ukraine Dunked on Him,2022-10-04,249.44,2.9,positive
Five reasons why China's economy is in trouble,2022-10-04,249.44,2.9,positive
Tesla will remove more vehicle sensors amid Autopilot scrutiny - Reuters,2022-10-04,249.44,2.9,positive
Demand for Tesla cars could be cooling off - Reuters,2022-10-04,249.44,2.9,positive
Kremlin welcomes Elon Musk proposal for Ukraine settlement denounced by Kyiv - Reuters,2022-10-04,249.44,2.9,positive
Ford reports strong demand for new vehicles in September - Reuters,2022-10-04,249.44,2.9,positive
Musk said to go ahead with $54.20 a share Twitter deal - Bloomberg reporter - Reuters,2022-10-04,249.44,2.9,positive
Breakingviews - Shocker Aussie hike sends global calming signal - Reuters,2022-10-04,249.44,2.9,positive
M6 sale flop requires Bertelsmann detour - Reuters,2022-10-04,249.44,2.9,positive
Breakingviews - Berkshire successor isn't following Buffett's lead - Reuters,2022-10-04,249.44,2.9,positive
Wall St futures jump as Treasury yields retreat - Reuters,2022-10-04,249.44,2.9,positive
Musk’s Twitter capitulation will be painful - Reuters,2022-10-04,249.44,2.9,positive
Morning Bid: Stress buster - Reuters,2022-10-04,249.44,2.9,positive
Twitter shares halted amid reports Elon Musk to go ahead with $44bn buyout,2022-10-04,249.44,2.9,positive
Like stepping inside a migraine – the house that is covered in doodles,2022-10-04,249.44,2.9,positive
Seeing Tesla's Optimus Robot Up Close Has Me Taking It Seriously - CNET,2022-10-04,249.44,2.9,positive
Amazon reportedly freezes hiring for the corporate wing of its global retail business,2022-10-04,249.44,2.9,positive
Twitter soars 18% on report that Elon Musk is proposing to move forward with his $44 billion takeover,2022-10-04,249.44,2.9,positive
Pressure was lifted from the UK currency Monday as the government announced a U-turn on its tax plans that had sent the pound to new lows against the dollar. Here's what to know.,2022-10-04,249.44,2.9,positive
Jack Dorsey Called Facebook 'The Swamp Of Despair' While Texting Elon Musk,2022-10-04,249.44,2.9,positive
Elon Musk Sets Off Uproar in Ukraine by Tweeting His ‘Peace’ Plan,2022-10-04,249.44,2.9,positive
Elon Musk Reportedly Proposes Going Through With Twitter Deal,2022-10-04,249.44,2.9,positive
Elon Musk proposes deal to buy Twitter at original price,2022-10-04,249.44,2.9,positive
"Elon Musk swears he really wants to buy Twitter this time, avoiding pending trial",2022-10-04,249.44,2.9,positive
Cathie Wood's Ark Invest bought the dip in Tesla after sell-off sparked by disappointing delivery figures,2022-10-04,249.44,2.9,positive
"Rivian on target for 25,000 cars with record third quarter",2022-10-04,249.44,2.9,positive
Ford reports strong demand for new vehicles — EV sales have tripled,2022-10-04,249.44,2.9,positive
VW's International Harvester Scout will reportedly be a true off-roader,2022-10-04,249.44,2.9,positive
The Margin: Elon Musk wants to move forward with his purchase of Twitter. Here’s how some Twitter users reacted.,2022-10-04,249.44,2.9,positive
Kremlin welcomes Elon Musk's proposal for Ukraine settlement that Kyiv previously rejected,2022-10-04,249.44,2.9,positive
Elon Musk's on-again off-again Twitter deal is back on,2022-10-04,249.44,2.9,positive
"All Overwatch 2 heroes: Tier list, characters, abilities, tips, and tricks",2022-10-04,249.44,2.9,positive
The 2022 Audi Q4 E-Tron Could Be the Car of the Future If It Outgrows Its Present Problems,2022-10-04,249.44,2.9,positive
Elon Musk Now Wants To Go Ahead With Original Twitter Deal,2022-10-04,249.44,2.9,positive
Elon Musk re-ups offer to buy Twitter for $44 billion: reports,2022-10-04,249.44,2.9,positive
"Elon Musk wants to buy Twitter again, spam bots and all",2022-10-04,249.44,2.9,positive
Elon Musk Will Buy Twitter After All,2022-10-04,249.44,2.9,positive
Elon Musk Will Purchase Twitter for Proposed $44 Million After All — Report,2022-10-04,249.44,2.9,positive
What good will Mercedes-Benz's new locally made model be to India's EV sector?,2022-10-04,249.44,2.9,positive
Zelensky and Musk in row over Ukraine 'peace plan poll',2022-10-04,249.44,2.9,positive
Is Tesla seeing a slowdown in demand?,2022-10-04,249.44,2.9,positive
Musk said to go ahead with original offer to buy Twitter: Report,2022-10-04,249.44,2.9,positive
GM's Cruise is making its own chips for self-driving vehicles to save on costs,2022-09-14,302.61,3.59,positive
"Tesla is sued by drivers over alleged false Autopilot, Full Self-Driving claims - Reuters",2022-09-14,302.61,3.59,positive
Tesla plans to expand German plant off table for now - rbb - Reuters,2022-09-14,302.61,3.59,positive
Tesla changes battery strategy to seek U.S. tax breaks - WSJ - Reuters,2022-09-14,302.61,3.59,positive
Futures rebound after rout on Wall Street - Reuters,2022-09-14,302.61,3.59,positive
Biden to promote shift to EVs in visit to Detroit auto show - Reuters,2022-09-14,302.61,3.59,positive
"Record number of young people in Japan rejecting marriage, survey shows",2022-09-14,302.61,3.59,positive
I used a Tesla Supercharger for the first time and discovered one of the best reasons to buy a car from Elon Musk,2022-09-14,302.61,3.59,positive
"Tesla chair defends the company's Shanghai factory, saying it needs manufacturing capacity on every continent to produce 20 million cars a year by 2030",2022-09-14,302.61,3.59,positive
"Elon Musk says we should start worrying about deflation, even though prices are still growing at a four-decade high",2022-09-14,302.61,3.59,positive
"Retail investors keep buying the dip in stocks, but a retest of the June market low would spark selling, according to VandaTrack",2022-09-14,302.61,3.59,positive
Elon Musk Launches New Product Poking Fun at His Twitter Lawsuit — and It's Already Sold Out,2022-09-14,302.61,3.59,positive
"Jeff Bezos, Elon Musk Lose a Combined $18 Billion Amid Inflation, Stock Market Drop",2022-09-14,302.61,3.59,positive
1 Underperforming ETF Every Investor Will Want to Avoid Right Now,2022-09-14,302.61,3.59,positive
You are Missing Out if You Don't Use Twitter. Here's 3 Reasons Why.,2022-09-14,302.61,3.59,positive
Frank Drake's Courageous Questions Live On,2022-09-14,302.61,3.59,positive
"Tesla sued over Autopilot, Full Self-Driving claims",2022-09-14,302.61,3.59,positive
Ford sets rules for dealers selling electric cars: Fixed no-haggle pricing,2022-09-14,302.61,3.59,positive
: What were retail investors doing during Tuesday’s stock market selloff? Here’s a clue: They’re ‘generally a contrarian bunch’,2022-09-14,302.61,3.59,positive
Red Hat lets staff stay away from the office forever,2022-09-14,302.61,3.59,positive
Teslas Hackers Have Found Another Unauthorized Access Vulnerability,2022-09-14,302.61,3.59,positive
Researchers Detail OriginLogger RAT — Successor to Agent Tesla Malware,2022-09-14,302.61,3.59,positive
Elon Musk’s Ex is Selling Photos of Him from His College Days,2022-09-14,302.61,3.59,positive
"Scooter Braun Gets $65 Million Home, Private Jet, Artwork in Divorce",2022-09-14,302.61,3.59,positive
The Morning After: Google's cheaper $30 Chromecast with Google TV,2022-09-23,275.33,-4.59,negative
"Amazon hires unsafe trucking firms twice as often as peers, WSJ finds",2022-09-23,275.33,-4.59,negative
"LG Energy inks cobalt, lithium supply deals with three Canadian miners - Reuters",2022-09-23,275.33,-4.59,negative
Futures slide more than 1% on growth concerns - Reuters,2022-09-23,275.33,-4.59,negative
Fisker to sell electric SUV in India with view to local production - Reuters,2022-09-23,275.33,-4.59,negative
Amazon is walking back staffers' raises after an internal bug miscalculated compensation,2022-09-23,275.33,-4.59,negative
20-year-old who tracks Elon Musk and Mark Zuckerberg's private jets says Facebook took down his page because it violates their policy,2022-09-23,275.33,-4.59,negative
"Tesla Countersues California Civil Rights Department, Which Is Suing Tesla for Racial Discrimination",2022-09-23,275.33,-4.59,negative
US allows tech firms to boost internet access in Iran,2022-09-23,275.33,-4.59,negative
America’s False Idols,2022-09-23,275.33,-4.59,negative
From Ex-Adobe Employee: On Adobe Acquiring Figma,2022-09-23,275.33,-4.59,negative
What Is the Fastest Electric Car in the World in 2022?,2022-09-23,275.33,-4.59,negative
Saturday Night Live: Defining Show Moments of the 21st Century,2022-09-23,275.33,-4.59,negative
"Elon Musk's 'No Patents' Rule is Smart Move for Him, Great for Innovators",2022-09-23,275.33,-4.59,negative
Electric Vehicles Could Rescue the US Power Grid,2022-09-19,309.07,1.89,positive
"Tesla must tell laid off workers about lawsuit, judge rules - Reuters",2022-09-19,309.07,1.89,positive
Tesla's German battery plant and land extension on track - mayor - Reuters,2022-09-19,309.07,1.89,positive
Tesla completes production capacity expansion at Shanghai plant - Shanghai govt - Reuters,2022-09-19,309.07,1.89,positive
Futures fall on rate hike worries - Reuters,2022-09-19,309.07,1.89,positive
"I drove a Tesla Model Y and discovered 6 reasons not to buy Elon Musk's $66,000 electric SUV",2022-09-19,309.07,1.89,positive
"Space Storms Destroy Elon Musk's Starlink Satellites, and the Problem Is About to Get Worse",2022-09-19,309.07,1.89,positive
Why the Polls May Be Feeding Liberals Another Blue Mirage,2022-09-19,309.07,1.89,positive
"Stable Diffusion Text-Prompt-Based Inpainting – Replace Hair, Fashion",2022-09-19,309.07,1.89,positive
The Talent Vortex: Mafias and Magnets,2022-09-19,309.07,1.89,positive
"Tesla's gigafactory is reportedly warning employees about smoke exposure amid the Mosquito Fire and changing air filters, but work continues",2022-09-19,309.07,1.89,positive
"I drove a Tesla Model Y and discovered 6 reasons not to buy Elon Musk's $66,000 electric SUV",2022-09-19,309.07,1.89,positive
How a network in Salt Lake City is bringing experts together to address climate change issues in Utah,2022-09-19,309.07,1.89,positive
